pso_training_fitness_30_1_200, [0.07441389 0.91794664 0.05162528 0.94049727 0.90687384 0.27437769
 0.0603712  0.92386467 0.06836241 0.07981109], 0.01099397 
pso_training_fitness_50_1_200, [0.67657298 0.06935121 0.03776937 0.98839831 0.92349338 0.94211034
 0.9175932  0.9648606  0.04988947 0.04988265], 0.03297387 
pso_training_fitness_30_2_200, [0.04989828 0.03401859 0.34780731 0.95285956 0.83735952 0.94354863
 0.15299517 0.94156098 0.02863418 0.04272582], 0.02225678 
pso_training_fitness_50_2_200, [0.10681351 0.04808077 0.28022173 0.72409229 0.630248   0.43304195
 0.05270383 0.91358698 0.04087368 0.01686261], 0.01427601 
